Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,12,240,39.8,91.3,0.435,13.1,35.8,0.365,26.7,55.5,0.48,19.9,27.1,0.735,12.4,33.4,45.8,25.2,9.2,6.1,14,20.8,112.5
2,Golden State Warriors,22,240,41.4,86.1,0.48,14,37.3,0.375,27.4,48.8,0.561,15.1,19.8,0.766,9.8,34.1,43.9,27,7.7,5,14.5,21.5,111.9
3,Denver Nuggets,5,240,39.4,82.8,0.476,11.2,31.4,0.357,28.2,51.4,0.549,20,25.2,0.794,11.2,30.6,41.8,25,7,3.4,16.4,25,110
4,New Orleans Pelicans,6,240,39,84.3,0.462,9.3,26.3,0.354,29.7,58,0.511,22.5,28.8,0.78,15.2,30.5,45.7,21.3,6.3,3.5,14.5,21.2,109.8
5,Minnesota Timberwolves,6,240,36.3,82,0.443,13.8,35.7,0.388,22.5,46.3,0.486,22.7,28,0.81,7,33,40,22.8,8.2,7.8,17.7,26.8,109.2
6,Brooklyn Nets,4,240,39.3,78,0.503,11.5,27.3,0.422,27.8,50.8,0.547,19,25.8,0.738,8.5,25.5,34,22.3,8,6.5,15.3,24.8,109
7,Phoenix Suns,13,240,41.2,82.8,0.497,9.8,27.2,0.363,31.3,55.6,0.563,15.5,18.9,0.817,9.5,30.7,40.2,25.7,6.6,3.8,13.3,22.5,107.6
8,Dallas Mavericks,18,240,36.3,80.8,0.449,15.8,41.5,0.38,20.5,39.3,0.521,18,23.3,0.771,6.5,30,36.5,19.2,7.2,2.8,10.2,21.1,106.3
9,Boston Celtics,24,240,36.7,81.8,0.449,13.7,36.6,0.373,23,45.1,0.511,18.5,23.2,0.797,9,33.9,42.9,24.5,6.4,6.3,14.7,20.7,105.5
10,Philadelphia 76ers,12,242.1,36.4,78.3,0.465,12.4,33.3,0.373,24,44.9,0.534,19.3,22.7,0.849,7.7,31.3,39,21.8,6.1,4.3,14.8,20.6,104.5
11,Miami Heat,18,240,38,85.3,0.445,10.9,34.8,0.313,27.1,50.6,0.536,17.3,21.6,0.804,9.8,31.2,41.1,21.9,8.3,3.7,12.9,21.4,104.2
12,Toronto Raptors,6,244.2,38.3,86,0.446,9.8,32.8,0.299,28.5,53.2,0.536,16.7,21,0.794,10,27.5,37.5,20.7,6.7,4.8,10,22.2,103.2
13,Milwaukee Bucks,12,240,38.5,88,0.438,10.6,32.3,0.327,27.9,55.7,0.501,15.2,20.8,0.731,9.8,40.7,50.4,20.8,6.3,4.5,13.8,19.2,102.8
14,Utah Jazz,6,240,35,79,0.443,8.2,29.8,0.274,26.8,49.2,0.546,20.8,26.5,0.786,9.3,35.5,44.8,17.2,4,3.7,11.8,22,99
15,Atlanta Hawks,5,240,34.4,78.2,0.44,11.4,35,0.326,23,43.2,0.532,17.2,22,0.782,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,97.4
16,Chicago Bulls,5,240,36.4,90.2,0.404,10.4,36.8,0.283,26,53.4,0.487,12,14.4,0.833,8.2,35.8,44,23,7.8,3.2,13,18.6,95.2
,League Average,11,240.3,38.2,83.7,0.456,12.3,34.6,0.355,25.9,49.2,0.527,17.7,22.6,0.785,9.4,32.6,42,22.9,7.1,4.6,13.7,21.5,106.3
