Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,AeFG%,ATOV%,AORB%,AFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
Denver Nuggets ,20,241.3,42.3,86,0.492,11.3,30,0.375,31,56,0.554,17.7,22.1,0.801,10.1,34.7,44.8,25.8,6.9,4.2,11.6,19.3,113.5,2023,26.8,15,5,119.5,110.8,94.4,0.257,0.349,0.593,0.557,10.8,25.2,0.206,0.515,10.4,80.7,0.198
Denver Nuggets ,5,240,39.4,82.8,0.476,11.2,31.4,0.357,28.2,51.4,0.549,20,25.2,0.794,11.2,30.6,41.8,25,7,3.4,16.4,25,110,2022,28.1,1,4,113.6,121.8,96.9,0.304,0.379,0.586,0.543,14.9,28,0.242,0.608,12.2,81.4,0.23
Denver Nuggets ,10,245,42.1,92.2,0.457,14.7,38.5,0.382,27.4,53.7,0.51,15.9,20.9,0.761,11.7,31.9,43.6,24.9,6.1,4.3,11.2,20.4,114.8,2021,26.3,3,7,116.8,122.4,96.3,0.227,0.418,0.566,0.536,9.9,25.1,0.172,0.576,10.6,79.6,0.223
Denver Nuggets ,19,241.3,38.8,82.5,0.471,12.3,32.4,0.379,26.6,50.2,0.53,17.5,21.4,0.816,9.3,31.4,40.6,22.5,6.2,4,13.9,22.4,107.4,2020,25.2,8,11,113.6,116,94.1,0.26,0.392,0.584,0.545,13.2,23,0.212,0.551,12.7,76.8,0.233
League Average,8,241.2,40.2,87.2,0.46,12,34.3,0.35,28.1,52.9,0.532,17.2,21.6,0.79,10.3,32.8,43.1,23.7,6.8,4.8,12.8,19.6,109.6,2023,27.5,5,5,113.5,113.5,96.1,0.248,0.393,0.566,0.52,11.7,24,0.197,0.54,11.7,76,0.197
League Average,11,240.3,38.2,83.7,0.456,12.3,34.6,0.355,25.9,49.2,0.527,17.7,22.6,0.785,9.4,32.6,42,22.9,7.1,4.6,13.7,21.5,106.3,2022,27.2,6,5,111.2,111.2,95.5,0.27,0.413,0.567,0.529,12.8,22.3,0.212,0.529,12.8,77.7,0.212
League Average,11,241.2,40.2,86.9,0.462,12.5,34.3,0.364,27.7,52.6,0.527,17.5,22.2,0.786,9.9,33.5,43.4,22,6.7,4.4,12.2,20.5,110.3,2021,27.6,5,5,114.3,114.3,96.1,0.256,0.395,0.571,0.534,11.2,22.8,0.201,0.534,11.2,77.2,0.201
League Average,10,242.1,38.8,85,0.457,13.1,36.3,0.36,25.8,48.7,0.529,18.8,23.9,0.788,8.8,34.3,43.2,22.9,7,4.3,14,21.8,109.6,2020,27.2,5,5,111.3,111.3,97.6,0.281,0.427,0.574,0.534,12.8,20.4,0.221,0.534,12.8,79.6,0.221
Difference between two data,12,0.1,2.1,-1.2,0.032,-0.7,-4.3,0.025,2.9,3.1,0.022,0.5,0.5,0.011,-0.2,1.9,1.7,2.1,0.1,-0.6,-1.2,-0.3,3.9,2023,-0.7,10,0,6,-2.7,-1.7,0.009,-0.044,0.027,0.037,-0.9,1.2,0.009,-0.025,-1.3,4.7,0.001
Difference between two data,-6,-0.3,1.2,-0.9,0.02,-1.1,-3.2,0.002,2.3,2.2,0.022,2.3,2.6,0.009,1.8,-2,-0.2,2.1,-0.1,-1.2,2.7,3.5,3.7,2022,0.9,-5,-1,2.4,10.6,1.4,0.034,-0.034,0.019,0.014,2.1,5.7,0.03,0.079,-0.6,3.7,0.018
Difference between two data,-1,3.8,1.9,5.3,-0.005,2.2,4.2,0.018,-0.3,1.1,-0.017,-1.6,-1.3,-0.025,1.8,-1.6,0.2,2.9,-0.6,-0.1,-1,-0.1,4.5,2021,-1.3,-2,2,2.5,8.1,0.2,-0.029,0.023,-0.005,0.002,-1.3,2.3,-0.029,0.042,-0.6,2.4,0.022
Difference between two data,9,-0.8,0,-2.5,0.014,-0.8,-3.9,0.019,0.8,1.5,0.001,-1.3,-2.5,0.028,0.5,-2.9,-2.6,-0.4,-0.8,-0.3,-0.1,0.6,-2.2,2020,-2,3,6,2.3,4.7,-3.5,-0.021,-0.035,0.01,0.011,0.4,2.6,-0.009,0.017,-0.1,-2.8,0.012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
